condition,lambda_language_alignment,seed,metric,published,recomputed,abs_diff
align010,0.1,5,cross_language_top1_id_accuracy,0.9268060836501901,0.9268060836501901,0.0
align010,0.1,5,cross_language_mrr,0.9565076461896006,0.9565076461896006,0.0
align010,0.1,5,cross_language_top1_id_accuracy_de_to_en,0.9277566539923955,0.9277566539923955,0.0
align010,0.1,5,cross_language_top1_id_accuracy_en_to_de,0.9258555133079848,0.9258555133079848,0.0
align010,0.1,5,cross_language_mrr_de_to_en,0.9574134656747127,0.9574134656747127,0.0
align010,0.1,5,cross_language_mrr_en_to_de,0.9556018267044882,0.9556018267044882,0.0
align010,0.1,5,mean_cross_language_parent_child_distance,6.198023326135095,6.198023326135095,0.0
align010,0.1,5,mean_parent_child_distance,6.194140850923424,6.194140850923424,0.0
align010,0.1,5,mean_sibling_distance,1.8259123376695625,1.8259123376695625,0.0
align010,0.1,5,mean_unrelated_distance,5.71875481789103,5.71875481789103,0.0
align010,0.1,6,mean_same_id_cross_language_distance,0.7622401214314505,0.7622401214314505,0.0
align010,0.1,6,cross_language_top1_id_accuracy,0.9306083650190115,0.9306083650190115,0.0
align010,0.1,6,cross_language_mrr,0.9606087010792336,0.9606087010792336,0.0
align010,0.1,6,cross_language_top1_id_accuracy_de_to_en,0.935361216730038,0.935361216730038,0.0
align010,0.1,6,cross_language_top1_id_accuracy_en_to_de,0.9258555133079848,0.9258555133079848,0.0
align010,0.1,6,cross_language_mrr_de_to_en,0.9616022391212504,0.9616022391212504,0.0
align010,0.1,6,cross_language_mrr_en_to_de,0.9596151630372163,0.9596151630372163,0.0
align010,0.1,6,mean_cross_language_parent_child_distance,6.081122637713805,6.081122637713805,0.0
align010,0.1,6,mean_parent_child_distance,6.079376223229719,6.079376223229719,0.0
align010,0.1,6,mean_sibling_distance,1.8364653866012375,1.8364653866012375,0.0
align010,0.1,6,mean_unrelated_distance,5.804043898224378,5.804043898224378,0.0
align010,0.1,7,mean_same_id_cross_language_distance,0.7827544726233066,0.7827544726233066,0.0
align010,0.1,7,cross_language_top1_id_accuracy,0.9230038022813688,0.9230038022813688,0.0
align010,0.1,7,cross_language_mrr,0.9551353431106284,0.9551353431106284,0.0
align010,0.1,7,cross_language_top1_id_accuracy_de_to_en,0.9201520912547528,0.9201520912547528,0.0
align010,0.1,7,cross_language_top1_id_accuracy_en_to_de,0.9258555133079848,0.9258555133079848,0.0
align010,0.1,7,cross_language_mrr_de_to_en,0.9536438529784538,0.9536438529784538,0.0
align010,0.1,7,cross_language_mrr_en_to_de,0.9566268332428027,0.9566268332428027,0.0
align010,0.1,7,mean_cross_language_parent_child_distance,6.128077197626147,6.128077197626147,0.0
align010,0.1,7,mean_parent_child_distance,6.123878762901174,6.123878762901174,0.0
align010,0.1,7,mean_sibling_distance,1.8524950338261468,1.8524950338261468,0.0
align010,0.1,7,mean_unrelated_distance,5.75446043982252,5.75446043982252,0.0
