condition,lambda_language_alignment,seed,language,task_type,decoding_rule,n,target_mean,target_median,prediction_mean,mae,rmse,mse,mean_baseline_mae,mean_baseline_rmse,median_baseline_mae,median_baseline_rmse
align003,0.03,7,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.871648421298585,0.5243615508008705,0.7565269381559291,0.572333008155585,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,8,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.9170495523582478,0.527043469871674,0.7759618565166355,0.6021168027687436,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,8,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9448203186437261,0.51603039800625,0.7579496593936357,0.5744876861749283,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,8,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8892787860727696,0.5380565417370982,0.7935653214213426,0.6297459193625587,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,9,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.8914991552324456,0.5194360695565969,0.7500045869908974,0.5625068805073866,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,9,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8928961599079234,0.5150794679380444,0.7427992748926167,0.5517507627809971,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,9,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8901021505569678,0.5237926711751495,0.7571413330638979,0.5732629982337762,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align010,0.1,0,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.8575594904301369,0.4754449235144365,0.7153217242967694,0.5116851692509035,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align010,0.1,0,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8675295124290787,0.47367372926140466,0.714708994020737,0.5108089461341337,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align010,0.1,0,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8475894684311952,0.47721611776746836,0.7159339301693092,0.5125613923676733,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
